PTC data Detect 22, R03_S11_C06
Mean(ADU)                Variance(ADU)
26654.775871807593         13769.205892514627
27288.66453079354         14031.81412596072
27982.641123100308         14448.497001301768
28619.538107218083         14654.992248982624
29329.711152235708         15026.93320910706
30016.134468161043         15360.754703404393
30703.06140338999         15662.600240151449
31451.220103840686         16059.232398446553
32261.089725094367         16429.981068897323
33011.460285749265         16742.6436681338
33838.217545215         17166.250412100115
34599.026713121915         17416.853523132653
35476.74514411141         17852.150192668534
36332.31595460104         18256.92486034824
37199.31036166976         18662.38367834843
38099.44261105689         19045.349300915565
38996.03081921756         19433.46278705485
39913.61487420475         19723.073914798744
40910.35391933749         20285.34077648679
41881.733743270604         20617.91755030402
42882.513766478965         21094.32035897351
43886.5232797003         21488.522208092083
44996.24832234232         21984.412995942952
46061.27420024791         22427.360839526675
47182.53908901321         22842.428984889204
48305.756788355895         23346.96889605492
49479.93989054811         23741.017274045276
50607.72415727844         24194.23119647953
51865.40063132653         24698.722275898028
53073.036428397034         25162.228851589873
54371.104914920594         25653.298576047982
55678.286734884045         26164.925876226233
56979.99165463199         26685.957341213256
58378.04279544724         27189.205874256717
59748.375578750405         27735.28125225726
61199.081952125445         28391.957065343213
62631.06574923876         28949.934592682792
64107.71076151934         29511.12939142192
65654.00990917187         30264.527528515726
67282.70039949828         30896.77101919341
68905.95577747995         31666.511748482066
70546.49173157626         32404.222822748245
72246.65186282285         33135.206190969046
74015.90517136305         33874.930523694835
75765.11317717869         34531.412694256294
77575.20898527825         35228.80582640253
79508.51209379981         35935.08886934044
81433.43853040834         36625.291190008604
83393.45866394893         36934.714237649816
85377.93422318716         36138.78808059289
87455.57510537514         32873.70970914761
89641.63446510895         25834.16924791777
91784.62802514475         18367.271090886705
94016.6002069129         12949.856826688916
96297.69114184356         9402.332083769745
98595.46581936738         6891.669355357238
100819.80933760604         4993.671129790217
102896.229704879         3758.9610823534604
104668.28933471153         3216.612314879365
106179.93843806566         3238.99043893676
